CID_senyawa,Protein
518740,AKT1_HUMAN
1548887,AKT1_HUMAN
2662,AKT1_HUMAN
3062316,AKT1_HUMAN
176870,AKT1_HUMAN
123631,AKT1_HUMAN
5291,AKT1_HUMAN
208908,AKT1_HUMAN
54454,AKT1_HUMAN
216239,AKT1_HUMAN
5329102,AKT1_HUMAN
10127622,AKT1_HUMAN
11707110,AKT1_HUMAN
5284616,AKT1_HUMAN
74989,PYRD_HUMAN
176,PYRD_HUMAN
68827,PYRD_HUMAN
10239,PYRD_HUMAN
3899,PYRD_HUMAN
74989,PPIA_HUMAN
176,PPIA_HUMAN
68827,PPIA_HUMAN
10239,PPIA_HUMAN
3899,PPIA_HUMAN
74989,PPIG_HUMAN
176,PPIG_HUMAN
68827,PPIG_HUMAN
10239,PPIG_HUMAN
3899,PPIG_HUMAN
5284616,FKBP5_HUMAN
174,FKBP4_HUMAN
679,FKBP4_HUMAN
5284616,FKBP4_HUMAN
5284616,FKBP2_HUMAN
5284616,FKB1B_HUMAN
145742,PPIB_HUMAN
145742,PPIC_HUMAN
145742,PPIH_HUMAN
6447131,FKB1A_HUMAN
6436030,FKB1A_HUMAN
5284616,FKB1A_HUMAN
439492,FKB1A_HUMAN
5430,FKB1A_HUMAN
2719,CP1A1_HUMAN
2719,CP2C8_HUMAN
2719,CP2D6_HUMAN
2719,CP3A4_HUMAN
2719,CP3A5_HUMAN
2719,DHE3_HUMAN
2719,DHE4_HUMAN
2719,GSTA2_HUMAN
2719,GSTA3_HUMAN
2719,HBA_HUMAN
2719,KCNH2_HUMAN
2719,NQO2_HUMAN
2719,PRIO_HUMAN
2719,TLR9_HUMAN
5284373,CP1A2_HUMAN
5284373,CP2C9_HUMAN
5284373,CP2CJ_HUMAN
5284373,CP2D6_HUMAN
5284373,CP3A4_HUMAN
5284373,MDR1_HUMAN
5284373,MRP2_HUMAN
5284373,PPIA_HUMAN
5291,AAPK1_HUMAN
5291,AAPK2_HUMAN
5291,ABCG2_HUMAN
5291,ABL1_HUMAN
5291,ABL2_HUMAN
5291,ABL_MLVAB
5291,ACK1_HUMAN
5291,ACV1B_HUMAN
5291,ACVL1_HUMAN
5291,ACVR1_HUMAN
5291,ALBU_HUMAN
5291,BCR_HUMAN
5291,BTK_HUMAN
5291,CAH12_HUMAN
5291,CAH1_HUMAN
5291,CAH2_HUMAN
5291,CAH4_HUMAN
5291,CAH9_HUMAN
5291,CDK2_HUMAN
5291,CDK5_HUMAN
5291,CDK7_HUMAN
5291,CDK8_HUMAN
5291,CDK9_HUMAN
5291,CLK1_HUMAN
5291,CP1A2_HUMAN
5291,CP2C8_HUMAN
5291,CP2C9_HUMAN
5291,CP2CJ_HUMAN
5291,CP2D6_HUMAN
5291,CP3A4_HUMAN
5291,CP3A5_HUMAN
5291,CP3A7_HUMAN
5291,CSF1R_HUMAN
5291,CSK21_HUMAN
5291,CSK_HUMAN
5291,DAPK1_HUMAN
5291,DDR1_HUMAN
5291,EGFR_HUMAN
5291,EPHA2_HUMAN
5291,EPHB1_HUMAN
5291,ERBB2_HUMAN
5291,ETV6_HUMAN
5291,FAK1_HUMAN
5291,FAK2_HUMAN
5291,FGFR1_HUMAN
5291,FGFR2_HUMAN
5291,FGFR3_HUMAN
5291,FGFR4_HUMAN
5291,FLT3_HUMAN
5291,FYN_HUMAN
5291,GSK3A_HUMAN
5291,GSK3B_HUMAN
5291,HCK_HUMAN
5291,HDAC1_HUMAN
5291,HDAC6_HUMAN
5291,IGF1R_HUMAN
5291,IKKE_HUMAN
5291,INSR_HUMAN
5291,ITK_HUMAN
5291,JAK2_HUMAN
5291,JAK3_HUMAN
5291,KAPCA_HUMAN
5291,KAPCB_HUMAN
5291,KC1G2_HUMAN
5291,KIT_HUMAN
5291,KPCA_HUMAN
5291,KPCD1_HUMAN
5291,KPCE_HUMAN
5291,KPCT_HUMAN
5291,KS6A5_HUMAN
5291,KSYK_HUMAN
5291,LCK_HUMAN
